benchmark,library,order,size,median,mean,stdev,unit
IntMap.getMiss,JRE,lowBits,1048578,2.512254854748893,2.512746245183463,0.008806492828274216,ns/op
IntMap.getMiss,JRE,lowBits,1572862,18.326243352178235,18.338818641822673,0.34096716885967926,ns/op
IntMap.getMiss,JRE,lowBits,2097154,2.510669070886476,2.5112396606789824,0.04340327911169702,ns/op
IntMap.getMiss,JRE,lowBits,3145726,20.12281418737365,20.183042048641255,0.4354504914604846,ns/op
IntMap.getMiss,JRE,lowBits,4194306,2.555591420350458,2.565855518084674,0.04794207747542485,ns/op
IntMap.getMiss,JRE,lowBits,6291454,26.45143389726512,26.477720068293713,0.29078321466162793,ns/op
IntMap.getMiss,JRE,lowBits,8388610,9.083026949215599,9.10969022851932,0.2488245699322543,ns/op
IntMap.getMiss,JRE,lowBits,12582910,33.17081511840465,33.11488724850987,2.795438606264269,ns/op
IntMap.getMiss,JRE,lowBits,16777218,14.358905740554967,15.358288343939293,1.7734708687913354,ns/op
IntMap.getMiss,JRE,lowBits,25165822,31.919053323830422,33.513743067171816,3.9575089111286257,ns/op
IntMap.getMiss,JRE,lowBits,33554434,16.32651741494145,16.296096010713924,0.2191812335544301,ns/op
IntMap.getMiss,JRE,lowBits,50331646,39.37430126989402,39.567030614818826,2.9875013382080358,ns/op
IntMap.getMiss,JRE,random,514,1.7200747484291843,1.7199333836964945,0.004407647671606575,ns/op
IntMap.getMiss,JRE,random,766,1.8240648464558242,1.8256577723379104,0.006542187119049036,ns/op
IntMap.getMiss,JRE,random,1026,1.7748180763977608,1.7767506789500065,0.01168326378192574,ns/op
IntMap.getMiss,JRE,random,1534,2.0296101525058323,2.029550933269694,0.010328510908994325,ns/op
IntMap.getMiss,JRE,random,2050,1.9670692010038824,1.967952150764143,0.007449115436248507,ns/op
IntMap.getMiss,JRE,random,3070,2.17513030518177,2.175859883406854,0.011566618080718984,ns/op
IntMap.getMiss,JRE,random,4098,2.074826200736405,2.0775132943134795,0.008262767145011837,ns/op
IntMap.getMiss,JRE,random,6142,2.281157061322178,2.2806556727822316,0.007395592637109304,ns/op
IntMap.getMiss,JRE,random,8194,2.147538026666181,2.146057968801591,0.004893364646343924,ns/op
IntMap.getMiss,JRE,random,12286,2.3766235747673097,2.3788257389311043,0.012239193029177763,ns/op
IntMap.getMiss,JRE,random,16386,2.2802077820043927,2.278296703987946,0.024104637472832476,ns/op
IntMap.getMiss,JRE,random,24574,3.352124350324014,3.507404254100632,0.3151967434394421,ns/op
IntMap.getMiss,JRE,random,32770,3.9745517416093072,3.8947812395134553,0.46913269986715683,ns/op
IntMap.getMiss,JRE,random,49150,8.300878500655996,8.168277376167675,0.24073974310269802,ns/op
IntMap.getMiss,JRE,random,65538,6.442760436455188,6.457803289083048,0.11701206822440324,ns/op
IntMap.getMiss,JRE,random,98302,9.328299529180757,9.326042925130174,0.06698714875417654,ns/op
IntMap.getMiss,JRE,random,131074,7.673753200424574,7.672045977214664,0.03793657181236285,ns/op
IntMap.getMiss,JRE,random,196606,10.104966322163865,10.093872576232668,0.09637130282433348,ns/op
IntMap.getMiss,JRE,random,262146,8.047253422478857,8.05327862487115,0.02625789757374541,ns/op
IntMap.getMiss,JRE,random,393214,11.224967066458118,11.250209914082763,0.15741105096436195,ns/op
IntMap.getMiss,JRE,random,524290,9.913295329145285,9.909779541181779,0.041933586577371285,ns/op
IntMap.getMiss,JRE,random,786430,19.06414653158594,19.084018267716054,0.18002536968323324,ns/op
IntMap.getMiss,JRE,random,1048578,18.311908655550052,18.207544094892917,0.41270548734761753,ns/op
IntMap.getMiss,JRE,random,1572862,26.642220329494467,26.676445824444677,0.603049747126017,ns/op
IntMap.getMiss,JRE,random,2097154,23.7244714472867,23.77599865388268,0.30483796776637084,ns/op
IntMap.getMiss,JRE,random,3145726,31.70830449282717,31.70975044756526,0.34063011067207777,ns/op
IntMap.getMiss,JRE,random,4194306,29.75361769914646,29.780442977250242,0.33069147872243143,ns/op
IntMap.getMiss,JRE,random,6291454,37.12218912905807,38.14605567030307,1.9628165506292625,ns/op
IntMap.getMiss,JRE,random,8388610,33.931080895175405,34.99767205347432,2.170552294305383,ns/op
IntMap.getMiss,JRE,random,12582910,41.41344548590102,41.378221137335736,0.2962571913226921,ns/op
IntMap.getMiss,JRE,random,16777218,35.35151845466628,35.50704708958258,0.3975303520189526,ns/op
IntMap.getMiss,JRE,random,25165822,47.04028271141759,47.306046496328065,0.7793777481278313,ns/op
